YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2015,10,84683,10995,craigslist
2019,6,38500,12500,craigslist
2012,13,11498,6995,craigslist
2014,11,117000,5998,craigslist
2014,11,167000,3900,craigslist
2018,7,114233,9500,craigslist
2020,5,104818,12495,craigslist
2017,8,114226,9998,craigslist
2016,9,59827,24789,craigslist
2016,9,78552,78522,craigslist
2021,4,64401,112991,craigslist
2024,1,29700,21991,craigslist
2021,4,63839,16991,craigslist
2020,5,90357,16991,craigslist
2024,1,27578,17991,craigslist